OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
282368268,68,Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806,YES,NO,,,NO,3,11,400277.11058153,135456.87541854,,DC
282368269,69,14th St & New York Ave NW,31216,38.899632,-77.031686,YES,NO,,,NO,21,1,397251.41977838,136864.92754697,,DC
282368270,70,Benning Branch Library,31705,38.894,-76.947974,YES,NO,,,NO,6,5,404513.31564725,136240.53983015,,DC
282368271,71,USDA / 12th & C St SW,31217,38.886277,-77.028242,YES,NO,,,NO,15,24,397549.70852812,135382.31936195,,DC
282368272,73,12th & Newton St NE,31501,38.933668,-76.991016,YES,NO,,,NO,4,6,400778.93906675,140642.76917646,,DC
282368273,74,US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587,YES,NO,,,NO,15,0,395958.57590909,136342.30123407,,DC
282368274,75,L'Enfant Plaza / 7th & C St SW,31218,38.886266,-77.022241,YES,NO,,,NO,11,2,398070.35828347,135380.95431573,,DC
282368275,76,10th St & Constitution Ave NW,31219,38.893028,-77.026013,YES,NO,,,NO,16,14,397743.31133834,136131.67560302,,DC
282368276,77,Kennedy Center,31211,38.897293,-77.05557,YES,NO,,,NO,6,13,395179.46081279,136606.27005869,,DC
282368277,78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,38.884,-76.995397,YES,NO,,,NO,3,15,400399.37156595,135129.1858182,,DC
282368278,79,18th & M St NW,31221,38.905067,-77.041779,YES,NO,,,NO,26,0,396376.18562535,137468.60859132,,DC
282368279,80,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,38.947607,-77.079382,YES,NO,,,NO,5,8,393118.69490052,142193.07513516,,DC
282368280,81,13th & H St NE,31611,38.900022,-76.988422,YES,NO,,,NO,0,27,401004.32015331,136907.80734764,,DC
282368281,82,5th & F St NW,31620,38.897222,-77.019347,YES,NO,,,NO,17,13,398321.70110602,136597.09913431,,DC
282368282,83,New York Ave & 15th St NW,31222,38.899032,-77.033354,YES,NO,,,NO,18,1,397106.70593945,136798.37429303,,DC
282368283,84,Convention Center / 7th & M St NW,31223,38.905737,-77.02227,YES,NO,,,NO,0,22,398068.36951337,137542.39041117,,DC
282368284,85,Harvard St & Adams Mill Rd NW,31112,38.927872,-77.043358,YES,NO,,,NO,11,2,396240.42917895,140000.2175631,,DC
282368285,86,18th & L St NW,31224,38.903741,-77.042452,YES,NO,,,NO,19,0,396317.74270625,137321.43879233,,DC
282368286,87,C & O Canal & Wisconsin Ave NW,31225,38.90375,-77.06269,YES,NO,,,NO,13,10,394562.31341761,137323.44877775,,DC
282368287,88,Maine Ave & 7th St SW,31609,38.878694,-77.023054,YES,NO,,,NO,6,12,397999.60967342,134540.4217425,,DC
282368288,89,D St & Maryland Ave NE,31612,38.894758,-76.997114,YES,NO,,,NO,1,21,400250.36118988,136323.40169319,,DC
282368289,90,34th St & Wisconsin Ave NW,31226,38.916442,-77.0682,YES,NO,,,NO,3,6,394085.43254774,138732.70732736,,DC
282368290,92,8th & H St NW,31228,38.8997,-77.023086,YES,NO,,,NO,11,22,397997.42273853,136872.25229554,,DC
282368291,93,10th & Monroe St NE,31504,38.932514,-76.992889,YES,NO,,,NO,8,7,400616.55446976,140514.65083001,,DC
282368292,94,Eckington Pl & Q St NE,31505,38.910972,-77.00495,YES,NO,,,NO,0,23,399570.68391328,138123.29427771,,DC
282368293,95,6th & H St NE,31615,38.899972,-76.998347,YES,NO,,,NO,1,21,400143.38766466,136902.19455674,,DC
282368315,118,Potomac Ave & 35th St S,31052,38.844015,-77.050537,YES,NO,,,NO,13,10,395612.7850665,130691.76225178,,
282368316,124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,YES,NO,,,NO,10,17,395959.43911633,135143.52730167,,DC
282368317,125,11th & F St NW,31262,38.897857,-77.026975,YES,NO,,,NO,15,0,397660.01398863,136667.7570737,,DC
282368318,126,23rd & E St NW,31260,38.896104,-77.049882,YES,NO,,,NO,18,1,395672.80643508,136473.99663923,,DC
282368319,127,Lynn St & 19th St North,31014,38.897315,-77.070993,YES,NO,,,NO,27,3,393841.56164086,136609.63967085,,
282368320,128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,YES,NO,,,NO,16,2,393727.51072873,136308.34254655,,
282368321,129,Clarendon Blvd & Pierce St,31016,38.893438,-77.076389,YES,NO,,,NO,2,13,393373.11414719,136179.63995377,,
282368322,130,Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,YES,NO,,,NO,11,4,392660.61582418,135986.8924231,,
282368323,131,Rhodes St & 16th St N,31018,38.892164,-77.079375,YES,NO,,,NO,1,10,393113.95026708,136038.43697471,,
282368324,132,Fairfax Village,31706,38.86559,-76.952103,YES,NO,,,NO,4,11,404156.7748465,133086.6176774,,DC
282368325,133,21st St & Constitution Ave NW,31261,38.892459,-77.046567,YES,NO,,,NO,14,0,395960.17160973,136069.22097211,,DC
282368326,134,Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,YES,NO,,,NO,8,7,391974.9565944,135688.28027547,,
282368327,135,Columbia Rd & Belmont St NW,31113,38.920669,-77.04368,YES,NO,,,NO,0,18,396212.12597888,139200.636678,,DC
282368328,136,Rhode Island & Connecticut Ave NW,31239,38.905996,-77.039802,YES,NO,,,NO,22,0,396547.71101083,137571.65850828,,DC
282368329,137,Thomas Circle,31241,38.9059,-77.0325,YES,NO,,,NO,7,26,397181.05762675,137560.75091601,,DC
